date,product_code,product,variant,sold_quantity,gross_price,gross_price_total
2020-09-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,202,19.0573,3849.57
2020-09-01,A0118150102,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Plus,162,21.4565,3475.95
2020-09-01,A0118150103,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Premium,193,21.7795,4203.44
2020-09-01,A0118150104,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache","Premium Plus",146,22.9729,3354.04
2020-09-01,A0219150201,"AQ WereWolf NAS Internal Hard Drive HDD – 8.89 cm",Standard,149,23.6987,3531.11
2020-09-01,A0219150202,"AQ WereWolf NAS Internal Hard Drive HDD – 8.89 cm",Plus,107,24.7312,2646.24
2020-09-01,A0220150203,"AQ WereWolf NAS Internal Hard Drive HDD – 8.89 cm",Premium,123,23.6154,2904.69
2020-09-01,A0320150301,"AQ Zion Saga",Standard,146,23.7223,3463.46
2020-09-01,A0321150302,"AQ Zion Saga",Plus,236,27.1027,6396.24
2020-09-01,A0321150303,"AQ Zion Saga",Premium,137,28.0059,3836.81
2020-09-01,A0418150103,"AQ Mforce Gen X","Standard 3",23,19.5235,449.04
2020-09-01,A0418150104,"AQ Mforce Gen X","Plus 1",82,19.9239,1633.76
2020-09-01,A0418150105,"AQ Mforce Gen X","Plus 2",86,20.0766,1726.59
2020-09-01,A0418150106,"AQ Mforce Gen X","Plus 3",48,19.9365,956.95
2020-09-01,A0519150201,"AQ Mforce Gen Y","Standard 1",138,22.3984,3090.98
2020-09-01,A0519150202,"AQ Mforce Gen Y","Standard 2",72,24.9298,1794.95
2020-09-01,A0519150203,"AQ Mforce Gen Y","Standard 3",38,26.5871,1010.31
2020-09-01,A0519150204,"AQ Mforce Gen Y","Plus 1",149,26.1081,3890.11
2020-09-01,A0519150205,"AQ Mforce Gen Y","Plus 2",29,29.7008,861.32
2020-09-01,A0519150206,"AQ Mforce Gen Y","Plus 3",28,31.2439,874.83
2020-09-01,A0519150207,"AQ Mforce Gen Y","Premium 1",171,32.4427,5547.70
2020-09-01,A0519150208,"AQ Mforce Gen Y","Premium 2",118,30.5816,3608.63
2020-09-01,A0619150301,"AQ Mforce Gen Z","Standard 1",51,30.4696,1553.95
2020-09-01,A0619150302,"AQ Mforce Gen Z","Standard 2",191,34.0973,6512.58
2020-09-01,A0620150303,"AQ Mforce Gen Z","Standard 3",167,34.2412,5718.28
2020-09-01,A0620150304,"AQ Mforce Gen Z","Plus 1",122,37.5826,4585.08
2020-09-01,A0620150305,"AQ Mforce Gen Z","Plus 2",173,36.5679,6326.25
2020-09-01,A0620150306,"AQ Mforce Gen Z","Plus 3",182,37.5278,6830.06
2020-09-01,A0621150307,"AQ Mforce Gen Z","Premium 1",177,36.2434,6415.08
2020-09-01,A0621150308,"AQ Mforce Gen Z","Premium 2",166,39.3990,6540.23
2020-09-01,A0721150401,"AQ GT 21",Standard,22,39.3377,865.43
2020-09-01,A0721150402,"AQ GT 21","Plus 1",62,39.1465,2427.08
2020-09-01,A0721150403,"AQ GT 21","Plus 2",57,39.2990,2240.04
2020-09-01,A0721150404,"AQ GT 21",Premium,182,39.1215,7120.11
2020-09-01,A0821150501,"AQ Marquee P3",Standard,120,40.5013,4860.16
2020-09-01,A0821150502,"AQ Marquee P3","Plus 1",106,43.2966,4589.44
2020-09-01,A0821150503,"AQ Marquee P3","Plus 2",172,42.3841,7290.07
2020-09-01,A0821150504,"AQ Marquee P3",Premium,197,44.7044,8806.77
2020-09-01,A0921150601,"AQ Marquee P4",Standard,56,45.0813,2524.55
2020-09-01,A1018150101,"AQ 5000 Series Electron 9 5900X Desktop Processor",Standard,91,111.1036,10110.43
2020-09-01,A1018150102,"AQ 5000 Series Electron 9 5900X Desktop Processor",Plus,51,123.4797,6297.46
2020-09-01,A1018150103,"AQ 5000 Series Electron 9 5900X Desktop Processor",Premium,159,123.9315,19705.11
2020-09-01,A1118150201,"AQ 5000 Series Electron 8 5900X Desktop Processor",Standard,106,124.2640,13171.98
2020-09-01,A1118150202,"AQ 5000 Series Electron 8 5900X Desktop Processor",Plus,33,129.5836,4276.26
2020-09-01,A1119150203,"AQ 5000 Series Electron 8 5900X Desktop Processor",Premium,158,139.8962,22103.60
2020-09-01,A1219150301,"AQ 5000 Series Ultron 8 5900X Desktop Processor",Standard,114,135.6822,15467.77
2020-09-01,A1219150302,"AQ 5000 Series Ultron 8 5900X Desktop Processor",Plus,168,145.1474,24384.76
2020-09-01,A1219150303,"AQ 5000 Series Ultron 8 5900X Desktop Processor",Premium,153,142.9402,21869.85
2020-09-01,A1319150401,"AQ Electron 5 3600 Desktop Processor",Standard,152,149.1034,22663.72
2020-09-01,A1320150402,"AQ Electron 5 3600 Desktop Processor",Plus,112,150.2450,16827.44
2020-09-01,A1320150403,"AQ Electron 5 3600 Desktop Processor",Premium,186,160.6912,29888.56
2020-09-01,A1420150501,"AQ Electron 4 3600 Desktop Processor",Standard,87,160.5082,13964.21
2020-09-01,A1420150502,"AQ Electron 4 3600 Desktop Processor",Plus,81,169.4999,13729.49
2020-09-01,A1421150503,"AQ Electron 4 3600 Desktop Processor",Premium,84,176.4389,14820.87
2020-09-01,A1521150601,"AQ Electron 3 3600 Desktop Processor",Standard,82,186.2917,15275.92
2020-09-01,A1521150602,"AQ Electron 3 3600 Desktop Processor",Plus,168,185.4599,31157.26
2020-09-01,A1618150101,"AQ MB Elite",Standard,117,19.6485,2298.87
2020-09-01,A1618150102,"AQ MB Elite","Plus 1",141,20.4629,2885.27
2020-09-01,A1618150103,"AQ MB Elite","Plus 2",43,21.2017,911.67
2020-09-01,A1618150104,"AQ MB Elite",Premium,67,21.4489,1437.08
2020-09-01,A1718150201,"AQ MB Crossx",Standard,37,21.8879,809.85
2020-09-01,A1718150202,"AQ MB Crossx","Plus 1",102,22.8957,2335.36
2020-09-01,A1718150203,"AQ MB Crossx","Plus 2",110,27.3445,3007.90
2020-09-01,A1718150204,"AQ MB Crossx",Premium,32,28.3991,908.77
2020-09-01,A1819150301,"AQ MB Crossx 2",Standard,20,28.8615,577.23
2020-09-01,A1819150302,"AQ MB Crossx 2","Plus 1",38,31.9525,1214.20
2020-09-01,A1819150303,"AQ MB Crossx 2","Plus 2",48,32.1924,1545.24
2020-09-01,A1819150304,"AQ MB Crossx 2",Premium,84,32.2612,2709.94
2020-09-01,A1919150401,"AQ MB Lito",Standard,103,33.7609,3477.37
